"MTU (UTC)","Area","Sequence","Day-ahead Price (EUR/MWh)","Intraday Period (UTC)","Intraday Price (EUR/MWh)"
"02/01/2024 11:00:00 - 02/01/2024 12:00:00","BZN|FR","Without Sequence","45.00","",""
"02/01/2024 12:00:00 - 02/01/2024 13:00:00","BZN|FR","Without Sequence","43.00","",""
"02/01/2024 13:00:00 - 02/01/2024 14:00:00","BZN|FR","Without Sequence","43.00","",""
"02/01/2024 14:00:00 - 02/01/2024 15:00:00","BZN|FR","Without Sequence","40.99","",""
"02/01/2024 15:00:00 - 02/01/2024 16:00:00","BZN|FR","Without Sequence","43.66","",""
"02/01/2024 16:00:00 - 02/01/2024 17:00:00","BZN|FR","Without Sequence","52.20","",""
"02/01/2024 17:00:00 - 02/01/2024 18:00:00","BZN|FR","Without Sequence","57.77","",""
"02/01/2024 18:00:00 - 02/01/2024 19:00:00","BZN|FR","Without Sequence","62.45","",""
"02/01/2024 19:00:00 - 02/01/2024 20:00:00","BZN|FR","Without Sequence","58.00","",""
"02/01/2024 20:00:00 - 02/01/2024 21:00:00","BZN|FR","Without Sequence","47.90","",""
"02/01/2024 21:00:00 - 02/01/2024 22:00:00","BZN|FR","Without Sequence","41.67","",""
"02/01/2024 22:00:00 - 02/01/2024 23:00:00","BZN|FR","Without Sequence","41.67","",""
"02/01/2024 23:00:00 - 03/01/2024 00:00:00","BZN|FR","Without Sequence","1.29","",""
"03/01/2024 00:00:00 - 03/01/2024 01:00:00","BZN|FR","Without Sequence","0.10","",""
"03/01/2024 01:00:00 - 03/01/2024 02:00:00","BZN|FR","Without Sequence","-0.01","",""
"03/01/2024 02:00:00 - 03/01/2024 03:00:00","BZN|FR","Without Sequence","-0.05","",""
"03/01/2024 03:00:00 - 03/01/2024 04:00:00","BZN|FR","Without Sequence","-0.05","",""
"03/01/2024 04:00:00 - 03/01/2024 05:00:00","BZN|FR","Without Sequence","0.10","",""
"03/01/2024 05:00:00 - 03/01/2024 06:00:00","BZN|FR","Without Sequence","4.78","",""
"03/01/2024 06:00:00 - 03/01/2024 07:00:00","BZN|FR","Without Sequence","41.04","",""
"03/01/2024 07:00:00 - 03/01/2024 08:00:00","BZN|FR","Without Sequence","61.92","",""
"03/01/2024 08:00:00 - 03/01/2024 09:00:00","BZN|FR","Without Sequence","65.06","",""
"03/01/2024 09:00:00 - 03/01/2024 10:00:00","BZN|FR","Without Sequence","59.67","",""
"03/01/2024 10:00:00 - 03/01/2024 11:00:00","BZN|FR","Without Sequence","56.28","",""
"03/01/2024 11:00:00 - 03/01/2024 12:00:00","BZN|FR","Without Sequence","55.00","",""
"03/01/2024 12:00:00 - 03/01/2024 13:00:00","BZN|FR","Without Sequence","55.42","",""
"03/01/2024 13:00:00 - 03/01/2024 14:00:00","BZN|FR","Without Sequence","61.00","",""
"03/01/2024 14:00:00 - 03/01/2024 15:00:00","BZN|FR","Without Sequence","66.03","",""
"03/01/2024 15:00:00 - 03/01/2024 16:00:00","BZN|FR","Without Sequence","67.52","",""
"03/01/2024 16:00:00 - 03/01/2024 17:00:00","BZN|FR","Without Sequence","81.06","",""
"03/01/2024 17:00:00 - 03/01/2024 18:00:00","BZN|FR","Without Sequence","85.07","",""
"03/01/2024 18:00:00 - 03/01/2024 19:00:00","BZN|FR","Without Sequence","81.66","",""
"03/01/2024 19:00:00 - 03/01/2024 20:00:00","BZN|FR","Without Sequence","73.23","",""
"03/01/2024 20:00:00 - 03/01/2024 21:00:00","BZN|FR","Without Sequence","67.41","",""
"03/01/2024 21:00:00 - 03/01/2024 22:00:00","BZN|FR","Without Sequence","65.00","",""
"03/01/2024 22:00:00 - 03/01/2024 23:00:00","BZN|FR","Without Sequence","65.00","",""
"03/01/2024 23:00:00 - 04/01/2024 00:00:00","BZN|FR","Without Sequence","57.30","",""
"04/01/2024 00:00:00 - 04/01/2024 01:00:00","BZN|FR","Without Sequence","50.46","",""
"04/01/2024 01:00:00 - 04/01/2024 02:00:00","BZN|FR","Without Sequence","40.00","",""
"04/01/2024 02:00:00 - 04/01/2024 03:00:00","BZN|FR","Without Sequence","25.48","",""
"04/01/2024 03:00:00 - 04/01/2024 04:00:00","BZN|FR","Without Sequence","35.00","",""
"04/01/2024 04:00:00 - 04/01/2024 05:00:00","BZN|FR","Without Sequence","57.73","",""
"04/01/2024 05:00:00 - 04/01/2024 06:00:00","BZN|FR","Without Sequence","72.65","",""
"04/01/2024 06:00:00 - 04/01/2024 07:00:00","BZN|FR","Without Sequence","85.02","",""
"04/01/2024 07:00:00 - 04/01/2024 08:00:00","BZN|FR","Without Sequence","91.47","",""
"04/01/2024 08:00:00 - 04/01/2024 09:00:00","BZN|FR","Without Sequence","94.20","",""
"04/01/2024 09:00:00 - 04/01/2024 10:00:00","BZN|FR","Without Sequence","91.54","",""
"04/01/2024 10:00:00 - 04/01/2024 11:00:00","BZN|FR","Without Sequence","89.95","",""
"04/01/2024 11:00:00 - 04/01/2024 12:00:00","BZN|FR","Without Sequence","86.21","",""
"04/01/2024 12:00:00 - 04/01/2024 13:00:00","BZN|FR","Without Sequence","85.96","",""
"04/01/2024 13:00:00 - 04/01/2024 14:00:00","BZN|FR","Without Sequence","92.11","",""
"04/01/2024 14:00:00 - 04/01/2024 15:00:00","BZN|FR","Without Sequence","98.62","",""
"04/01/2024 15:00:00 - 04/01/2024 16:00:00","BZN|FR","Without Sequence","99.50","",""
"04/01/2024 16:00:00 - 04/01/2024 17:00:00","BZN|FR","Without Sequence","100.00","",""
"04/01/2024 17:00:00 - 04/01/2024 18:00:00","BZN|FR","Without Sequence","102.57","",""
"04/01/2024 18:00:00 - 04/01/2024 19:00:00","BZN|FR","Without Sequence","100.70","",""
"04/01/2024 19:00:00 - 04/01/2024 20:00:00","BZN|FR","Without Sequence","92.65","",""
"04/01/2024 20:00:00 - 04/01/2024 21:00:00","BZN|FR","Without Sequence","81.07","",""
"04/01/2024 21:00:00 - 04/01/2024 22:00:00","BZN|FR","Without Sequence","78.43","",""
"04/01/2024 22:00:00 - 04/01/2024 23:00:00","BZN|FR","Without Sequence","78.43","",""
"04/01/2024 23:00:00 - 05/01/2024 00:00:00","BZN|FR","Without Sequence","86.08","",""
"05/01/2024 00:00:00 - 05/01/2024 01:00:00","BZN|FR","Without Sequence","80.51","",""
"05/01/2024 01:00:00 - 05/01/2024 02:00:00","BZN|FR","Without Sequence","77.01","",""
"05/01/2024 02:00:00 - 05/01/2024 03:00:00","BZN|FR","Without Sequence","70.67","",""
"05/01/2024 03:00:00 - 05/01/2024 04:00:00","BZN|FR","Without Sequence","61.10","",""
"05/01/2024 04:00:00 - 05/01/2024 05:00:00","BZN|FR","Without Sequence","68.26","",""
"05/01/2024 05:00:00 - 05/01/2024 06:00:00","BZN|FR","Without Sequence","75.00","",""
"05/01/2024 06:00:00 - 05/01/2024 07:00:00","BZN|FR","Without Sequence","88.35","",""
"05/01/2024 07:00:00 - 05/01/2024 08:00:00","BZN|FR","Without Sequence","90.88","",""
"05/01/2024 08:00:00 - 05/01/2024 09:00:00","BZN|FR","Without Sequence","95.37","",""
"05/01/2024 09:00:00 - 05/01/2024 10:00:00","BZN|FR","Without Sequence","96.37","",""
"05/01/2024 10:00:00 - 05/01/2024 11:00:00","BZN|FR","Without Sequence","98.24","",""
"05/01/2024 11:00:00 - 05/01/2024 12:00:00","BZN|FR","Without Sequence","92.61","",""
"05/01/2024 12:00:00 - 05/01/2024 13:00:00","BZN|FR","Without Sequence","92.40","",""
"05/01/2024 13:00:00 - 05/01/2024 14:00:00","BZN|FR","Without Sequence","97.46","",""
"05/01/2024 14:00:00 - 05/01/2024 15:00:00","BZN|FR","Without Sequence","100.97","",""
"05/01/2024 15:00:00 - 05/01/2024 16:00:00","BZN|FR","Without Sequence","103.79","",""
"05/01/2024 16:00:00 - 05/01/2024 17:00:00","BZN|FR","Without Sequence","108.03","",""
"05/01/2024 17:00:00 - 05/01/2024 18:00:00","BZN|FR","Without Sequence","108.76","",""
"05/01/2024 18:00:00 - 05/01/2024 19:00:00","BZN|FR","Without Sequence","104.41","",""
"05/01/2024 19:00:00 - 05/01/2024 20:00:00","BZN|FR","Without Sequence","100.52","",""
"05/01/2024 20:00:00 - 05/01/2024 21:00:00","BZN|FR","Without Sequence","94.41","",""
"05/01/2024 21:00:00 - 05/01/2024 22:00:00","BZN|FR","Without Sequence","94.92","",""
"05/01/2024 22:00:00 - 05/01/2024 23:00:00","BZN|FR","Without Sequence","94.92","",""
"05/01/2024 23:00:00 - 06/01/2024 00:00:00","BZN|FR","Without Sequence","82.25","",""
"06/01/2024 00:00:00 - 06/01/2024 01:00:00","BZN|FR","Without Sequence","80.20","",""
"06/01/2024 01:00:00 - 06/01/2024 02:00:00","BZN|FR","Without Sequence","76.13","",""
"06/01/2024 02:00:00 - 06/01/2024 03:00:00","BZN|FR","Without Sequence","73.01","",""
"06/01/2024 03:00:00 - 06/01/2024 04:00:00","BZN|FR","Without Sequence","73.01","",""
"06/01/2024 04:00:00 - 06/01/2024 05:00:00","BZN|FR","Without Sequence","74.59","",""
"06/01/2024 05:00:00 - 06/01/2024 06:00:00","BZN|FR","Without Sequence","75.10","",""
"06/01/2024 06:00:00 - 06/01/2024 07:00:00","BZN|FR","Without Sequence","81.39","",""
"06/01/2024 07:00:00 - 06/01/2024 08:00:00","BZN|FR","Without Sequence","88.40","",""
"06/01/2024 08:00:00 - 06/01/2024 09:00:00","BZN|FR","Without Sequence","92.23","",""
"06/01/2024 09:00:00 - 06/01/2024 10:00:00","BZN|FR","Without Sequence","97.30","",""
"06/01/2024 10:00:00 - 06/01/2024 11:00:00","BZN|FR","Without Sequence","100.41","",""
"06/01/2024 11:00:00 - 06/01/2024 12:00:00","BZN|FR","Without Sequence","99.16","",""
"06/01/2024 12:00:00 - 06/01/2024 13:00:00","BZN|FR","Without Sequence","90.18","",""
"06/01/2024 13:00:00 - 06/01/2024 14:00:00","BZN|FR","Without Sequence","91.82","",""
"06/01/2024 14:00:00 - 06/01/2024 15:00:00","BZN|FR","Without Sequence","87.30","",""
"06/01/2024 15:00:00 - 06/01/2024 16:00:00","BZN|FR","Without Sequence","85.07","",""
"06/01/2024 16:00:00 - 06/01/2024 17:00:00","BZN|FR","Without Sequence","104.30","",""
"06/01/2024 17:00:00 - 06/01/2024 18:00:00","BZN|FR","Without Sequence","103.63","",""
"06/01/2024 18:00:00 - 06/01/2024 19:00:00","BZN|FR","Without Sequence","99.00","",""
"06/01/2024 19:00:00 - 06/01/2024 20:00:00","BZN|FR","Without Sequence","92.14","",""
"06/01/2024 20:00:00 - 06/01/2024 21:00:00","BZN|FR","Without Sequence","88.00","",""
"06/01/2024 21:00:00 - 06/01/2024 22:00:00","BZN|FR","Without Sequence","86.57","",""
"06/01/2024 22:00:00 - 06/01/2024 23:00:00","BZN|FR","Without Sequence","86.57","",""
"06/01/2024 23:00:00 - 07/01/2024 00:00:00","BZN|FR","Without Sequence","84.08","",""
"07/01/2024 00:00:00 - 07/01/2024 01:00:00","BZN|FR","Without Sequence","79.82","",""
"07/01/2024 01:00:00 - 07/01/2024 02:00:00","BZN|FR","Without Sequence","76.76","",""
"07/01/2024 02:00:00 - 07/01/2024 03:00:00","BZN|FR","Without Sequence","73.46","",""
"07/01/2024 03:00:00 - 07/01/2024 04:00:00","BZN|FR","Without Sequence","71.86","",""
"07/01/2024 04:00:00 - 07/01/2024 05:00:00","BZN|FR","Without Sequence","72.08","",""
"07/01/2024 05:00:00 - 07/01/2024 06:00:00","BZN|FR","Without Sequence","74.90","",""
"07/01/2024 06:00:00 - 07/01/2024 07:00:00","BZN|FR","Without Sequence","77.69","",""
"07/01/2024 07:00:00 - 07/01/2024 08:00:00","BZN|FR","Without Sequence","81.79","",""
"07/01/2024 08:00:00 - 07/01/2024 09:00:00","BZN|FR","Without Sequence","84.86","",""
"07/01/2024 09:00:00 - 07/01/2024 10:00:00","BZN|FR","Without Sequence","87.13","",""
"07/01/2024 10:00:00 - 07/01/2024 11:00:00","BZN|FR","Without Sequence","89.12","",""
"07/01/2024 11:00:00 - 07/01/2024 12:00:00","BZN|FR","Without Sequence","88.66","",""
"07/01/2024 12:00:00 - 07/01/2024 13:00:00","BZN|FR","Without Sequence","84.81","",""
"07/01/2024 13:00:00 - 07/01/2024 14:00:00","BZN|FR","Without Sequence","84.34","",""
"07/01/2024 14:00:00 - 07/01/2024 15:00:00","BZN|FR","Without Sequence","88.01","",""
"07/01/2024 15:00:00 - 07/01/2024 16:00:00","BZN|FR","Without Sequence","93.42","",""
"07/01/2024 16:00:00 - 07/01/2024 17:00:00","BZN|FR","Without Sequence","101.77","",""
"07/01/2024 17:00:00 - 07/01/2024 18:00:00","BZN|FR","Without Sequence","104.85","",""
"07/01/2024 18:00:00 - 07/01/2024 19:00:00","BZN|FR","Without Sequence","103.55","",""
"07/01/2024 19:00:00 - 07/01/2024 20:00:00","BZN|FR","Without Sequence","100.50","",""
"07/01/2024 20:00:00 - 07/01/2024 21:00:00","BZN|FR","Without Sequence","93.31","",""
"07/01/2024 21:00:00 - 07/01/2024 22:00:00","BZN|FR","Without Sequence","91.17","",""
"07/01/2024 22:00:00 - 07/01/2024 23:00:00","BZN|FR","Without Sequence","91.17","",""
"07/01/2024 23:00:00 - 08/01/2024 00:00:00","BZN|FR","Without Sequence","86.97","",""
"08/01/2024 00:00:00 - 08/01/2024 01:00:00","BZN|FR","Without Sequence","84.18","",""
"08/01/2024 01:00:00 - 08/01/2024 02:00:00","BZN|FR","Without Sequence","81.53","",""
"08/01/2024 02:00:00 - 08/01/2024 03:00:00","BZN|FR","Without Sequence","78.79","",""
"08/01/2024 03:00:00 - 08/01/2024 04:00:00","BZN|FR","Without Sequence","78.43","",""
"08/01/2024 04:00:00 - 08/01/2024 05:00:00","BZN|FR","Without Sequence","82.10","",""
"08/01/2024 05:00:00 - 08/01/2024 06:00:00","BZN|FR","Without Sequence","94.30","",""
"08/01/2024 06:00:00 - 08/01/2024 07:00:00","BZN|FR","Without Sequence","111.07","",""
"08/01/2024 07:00:00 - 08/01/2024 08:00:00","BZN|FR","Without Sequence","121.11","",""
"08/01/2024 08:00:00 - 08/01/2024 09:00:00","BZN|FR","Without Sequence","117.83","",""
"08/01/2024 09:00:00 - 08/01/2024 10:00:00","BZN|FR","Without Sequence","110.57","",""
"08/01/2024 10:00:00 - 08/01/2024 11:00:00","BZN|FR","Without Sequence","103.00","",""
"08/01/2024 11:00:00 - 08/01/2024 12:00:00","BZN|FR","Without Sequence","95.46","",""
"08/01/2024 12:00:00 - 08/01/2024 13:00:00","BZN|FR","Without Sequence","93.88","",""
"08/01/2024 13:00:00 - 08/01/2024 14:00:00","BZN|FR","Without Sequence","100.00","",""
"08/01/2024 14:00:00 - 08/01/2024 15:00:00","BZN|FR","Without Sequence","107.98","",""
"08/01/2024 15:00:00 - 08/01/2024 16:00:00","BZN|FR","Without Sequence","117.06","",""
"08/01/2024 16:00:00 - 08/01/2024 17:00:00","BZN|FR","Without Sequence","129.25","",""
"08/01/2024 17:00:00 - 08/01/2024 18:00:00","BZN|FR","Without Sequence","129.99","",""
"08/01/2024 18:00:00 - 08/01/2024 19:00:00","BZN|FR","Without Sequence","122.01","",""
"08/01/2024 19:00:00 - 08/01/2024 20:00:00","BZN|FR","Without Sequence","114.16","",""
"08/01/2024 20:00:00 - 08/01/2024 21:00:00","BZN|FR","Without Sequence","102.62","",""
"08/01/2024 21:00:00 - 08/01/2024 22:00:00","BZN|FR","Without Sequence","99.84","",""
"08/01/2024 22:00:00 - 08/01/2024 23:00:00","BZN|FR","Without Sequence","99.84","",""
"08/01/2024 23:00:00 - 09/01/2024 00:00:00","BZN|FR","Without Sequence","85.83","",""
"09/01/2024 00:00:00 - 09/01/2024 01:00:00","BZN|FR","Without Sequence","84.65","",""
"09/01/2024 01:00:00 - 09/01/2024 02:00:00","BZN|FR","Without Sequence","85.00","",""
"09/01/2024 02:00:00 - 09/01/2024 03:00:00","BZN|FR","Without Sequence","83.98","",""
"09/01/2024 03:00:00 - 09/01/2024 04:00:00","BZN|FR","Without Sequence","83.63","",""
"09/01/2024 04:00:00 - 09/01/2024 05:00:00","BZN|FR","Without Sequence","88.65","",""
"09/01/2024 05:00:00 - 09/01/2024 06:00:00","BZN|FR","Without Sequence","102.79","",""
"09/01/2024 06:00:00 - 09/01/2024 07:00:00","BZN|FR","Without Sequence","116.14","",""
"09/01/2024 07:00:00 - 09/01/2024 08:00:00","BZN|FR","Without Sequence","131.42","",""
"09/01/2024 08:00:00 - 09/01/2024 09:00:00","BZN|FR","Without Sequence","120.75","",""
"09/01/2024 09:00:00 - 09/01/2024 10:00:00","BZN|FR","Without Sequence","110.32","",""
"09/01/2024 10:00:00 - 09/01/2024 11:00:00","BZN|FR","Without Sequence","103.13","",""
"09/01/2024 11:00:00 - 09/01/2024 12:00:00","BZN|FR","Without Sequence","95.39","",""
"09/01/2024 12:00:00 - 09/01/2024 13:00:00","BZN|FR","Without Sequence","95.77","",""
"09/01/2024 13:00:00 - 09/01/2024 14:00:00","BZN|FR","Without Sequence","105.16","",""
"09/01/2024 14:00:00 - 09/01/2024 15:00:00","BZN|FR","Without Sequence","114.75","",""
"09/01/2024 15:00:00 - 09/01/2024 16:00:00","BZN|FR","Without Sequence","124.29","",""
"09/01/2024 16:00:00 - 09/01/2024 17:00:00","BZN|FR","Without Sequence","137.35","",""
"09/01/2024 17:00:00 - 09/01/2024 18:00:00","BZN|FR","Without Sequence","137.00","",""
"09/01/2024 18:00:00 - 09/01/2024 19:00:00","BZN|FR","Without Sequence","130.05","",""
"09/01/2024 19:00:00 - 09/01/2024 20:00:00","BZN|FR","Without Sequence","117.67","",""
"09/01/2024 20:00:00 - 09/01/2024 21:00:00","BZN|FR","Without Sequence","107.69","",""
"09/01/2024 21:00:00 - 09/01/2024 22:00:00","BZN|FR","Without Sequence","101.83","",""
"09/01/2024 22:00:00 - 09/01/2024 23:00:00","BZN|FR","Without Sequence","101.83","",""
"09/01/2024 23:00:00 - 10/01/2024 00:00:00","BZN|FR","Without Sequence","85.30","",""
"10/01/2024 00:00:00 - 10/01/2024 01:00:00","BZN|FR","Without Sequence","86.76","",""
"10/01/2024 01:00:00 - 10/01/2024 02:00:00","BZN|FR","Without Sequence","86.73","",""
"10/01/2024 02:00:00 - 10/01/2024 03:00:00","BZN|FR","Without Sequence","84.75","",""
"10/01/2024 03:00:00 - 10/01/2024 04:00:00","BZN|FR","Without Sequence","85.00","",""
"10/01/2024 04:00:00 - 10/01/2024 05:00:00","BZN|FR","Without Sequence","86.30","",""
"10/01/2024 05:00:00 - 10/01/2024 06:00:00","BZN|FR","Without Sequence","102.60","",""
"10/01/2024 06:00:00 - 10/01/2024 07:00:00","BZN|FR","Without Sequence","119.26","",""
"10/01/2024 07:00:00 - 10/01/2024 08:00:00","BZN|FR","Without Sequence","139.20","",""
"10/01/2024 08:00:00 - 10/01/2024 09:00:00","BZN|FR","Without Sequence","130.39","",""
"10/01/2024 09:00:00 - 10/01/2024 10:00:00","BZN|FR","Without Sequence","117.47","",""
"10/01/2024 10:00:00 - 10/01/2024 11:00:00","BZN|FR","Without Sequence","109.13","",""
"10/01/2024 11:00:00 - 10/01/2024 12:00:00","BZN|FR","Without Sequence","99.99","",""
"10/01/2024 12:00:00 - 10/01/2024 13:00:00","BZN|FR","Without Sequence","101.25","",""
"10/01/2024 13:00:00 - 10/01/2024 14:00:00","BZN|FR","Without Sequence","106.10","",""
"10/01/2024 14:00:00 - 10/01/2024 15:00:00","BZN|FR","Without Sequence","119.77","",""
"10/01/2024 15:00:00 - 10/01/2024 16:00:00","BZN|FR","Without Sequence","133.14","",""
"10/01/2024 16:00:00 - 10/01/2024 17:00:00","BZN|FR","Without Sequence","143.79","",""
"10/01/2024 17:00:00 - 10/01/2024 18:00:00","BZN|FR","Without Sequence","140.00","",""
"10/01/2024 18:00:00 - 10/01/2024 19:00:00","BZN|FR","Without Sequence","132.15","",""
"10/01/2024 19:00:00 - 10/01/2024 20:00:00","BZN|FR","Without Sequence","120.00","",""
"10/01/2024 20:00:00 - 10/01/2024 21:00:00","BZN|FR","Without Sequence","107.71","",""
"10/01/2024 21:00:00 - 10/01/2024 22:00:00","BZN|FR","Without Sequence","101.32","",""
"10/01/2024 22:00:00 - 10/01/2024 23:00:00","BZN|FR","Without Sequence","101.32","",""
"10/01/2024 23:00:00 - 11/01/2024 00:00:00","BZN|FR","Without Sequence","91.75","",""
"11/01/2024 00:00:00 - 11/01/2024 01:00:00","BZN|FR","Without Sequence","88.59","",""
"11/01/2024 01:00:00 - 11/01/2024 02:00:00","BZN|FR","Without Sequence","87.25","",""
"11/01/2024 02:00:00 - 11/01/2024 03:00:00","BZN|FR","Without Sequence","82.38","",""
"11/01/2024 03:00:00 - 11/01/2024 04:00:00","BZN|FR","Without Sequence","80.60","",""
"11/01/2024 04:00:00 - 11/01/2024 05:00:00","BZN|FR","Without Sequence","86.92","",""
"11/01/2024 05:00:00 - 11/01/2024 06:00:00","BZN|FR","Without Sequence","99.36","",""
"11/01/2024 06:00:00 - 11/01/2024 07:00:00","BZN|FR","Without Sequence","116.89","",""
"11/01/2024 07:00:00 - 11/01/2024 08:00:00","BZN|FR","Without Sequence","141.00","",""
"11/01/2024 08:00:00 - 11/01/2024 09:00:00","BZN|FR","Without Sequence","129.16","",""
"11/01/2024 09:00:00 - 11/01/2024 10:00:00","BZN|FR","Without Sequence","113.65","",""
"11/01/2024 10:00:00 - 11/01/2024 11:00:00","BZN|FR","Without Sequence","106.48","",""
"11/01/2024 11:00:00 - 11/01/2024 12:00:00","BZN|FR","Without Sequence","99.38","",""
"11/01/2024 12:00:00 - 11/01/2024 13:00:00","BZN|FR","Without Sequence","99.00","",""
"11/01/2024 13:00:00 - 11/01/2024 14:00:00","BZN|FR","Without Sequence","105.98","",""
"11/01/2024 14:00:00 - 11/01/2024 15:00:00","BZN|FR","Without Sequence","113.71","",""
"11/01/2024 15:00:00 - 11/01/2024 16:00:00","BZN|FR","Without Sequence","106.55","",""
"11/01/2024 16:00:00 - 11/01/2024 17:00:00","BZN|FR","Without Sequence","126.87","",""
"11/01/2024 17:00:00 - 11/01/2024 18:00:00","BZN|FR","Without Sequence","136.72","",""
"11/01/2024 18:00:00 - 11/01/2024 19:00:00","BZN|FR","Without Sequence","132.31","",""
"11/01/2024 19:00:00 - 11/01/2024 20:00:00","BZN|FR","Without Sequence","117.93","",""
"11/01/2024 20:00:00 - 11/01/2024 21:00:00","BZN|FR","Without Sequence","107.19","",""
"11/01/2024 21:00:00 - 11/01/2024 22:00:00","BZN|FR","Without Sequence","100.00","",""
"11/01/2024 22:00:00 - 11/01/2024 23:00:00","BZN|FR","Without Sequence","100.00","",""
"11/01/2024 23:00:00 - 12/01/2024 00:00:00","BZN|FR","Without Sequence","88.98","",""
"12/01/2024 00:00:00 - 12/01/2024 01:00:00","BZN|FR","Without Sequence","86.45","",""
"12/01/2024 01:00:00 - 12/01/2024 02:00:00","BZN|FR","Without Sequence","84.99","",""
"12/01/2024 02:00:00 - 12/01/2024 03:00:00","BZN|FR","Without Sequence","83.00","",""
"12/01/2024 03:00:00 - 12/01/2024 04:00:00","BZN|FR","Without Sequence","83.14","",""
"12/01/2024 04:00:00 - 12/01/2024 05:00:00","BZN|FR","Without Sequence","85.00","",""
"12/01/2024 05:00:00 - 12/01/2024 06:00:00","BZN|FR","Without Sequence","90.94","",""
"12/01/2024 06:00:00 - 12/01/2024 07:00:00","BZN|FR","Without Sequence","118.47","",""
"12/01/2024 07:00:00 - 12/01/2024 08:00:00","BZN|FR","Without Sequence","140.74","",""
"12/01/2024 08:00:00 - 12/01/2024 09:00:00","BZN|FR","Without Sequence","134.96","",""
"12/01/2024 09:00:00 - 12/01/2024 10:00:00","BZN|FR","Without Sequence","122.01","",""
"12/01/2024 10:00:00 - 12/01/2024 11:00:00","BZN|FR","Without Sequence","114.73","",""
"12/01/2024 11:00:00 - 12/01/2024 12:00:00","BZN|FR","Without Sequence","106.98","",""
"12/01/2024 12:00:00 - 12/01/2024 13:00:00","BZN|FR","Without Sequence","103.08","",""
